bp	annual_hunting_mortality
5200	0.025000
5199	0.025000
5198	0.025000
5197	0.025000
5196	0.025000
5195	0.025000
5194	0.025000
5193	0.025000
5192	0.025000
5191	0.025000
5190	0.025000
5189	0.025000
5188	0.025000
5187	0.025000
5186	0.025000
5185	0.025000
5184	0.025000
5183	0.025000
5182	0.025000
5181	0.025000
5180	0.025000
5179	0.025000
5178	0.025000
5177	0.025000
5176	0.025000
5175	0.025000
5174	0.025000
5173	0.025000
5172	0.025000
5171	0.025000
5170	0.025000
5169	0.025000
5168	0.025000
5167	0.025000
5166	0.025000
5165	0.025000
5164	0.025000
5163	0.025000
5162	0.025000
5161	0.025000
5160	0.025000
5159	0.025000
5158	0.025000
5157	0.025000
5156	0.025000
5155	0.025000
5154	0.025000
5153	0.025000
5152	0.025000
5151	0.025000
5150	0.025000
5149	0.025000
5148	0.025000
5147	0.025000
5146	0.025000
5145	0.025000
5144	0.025000
5143	0.025000
5142	0.025000
5141	0.025000
5140	0.025000
5139	0.025000
5138	0.025000
5137	0.025000
5136	0.025000
5135	0.025000
5134	0.025000
5133	0.025000
5132	0.025000
5131	0.025000
5130	0.025000
5129	0.025000
5128	0.025000
5127	0.025000
5126	0.025000
5125	0.025000
5124	0.025000
5123	0.025000
5122	0.025000
5121	0.025000
5120	0.025000
5119	0.025000
5118	0.025000
5117	0.025000
5116	0.025000
5115	0.025000
5114	0.025000
5113	0.025000
5112	0.025000
5111	0.025000
5110	0.025000
5109	0.025000
5108	0.025000
5107	0.025000
5106	0.025000
5105	0.025000
5104	0.025000
5103	0.025000
5102	0.025000
5101	0.025000
5100	0.025000
5099	0.025000
5098	0.025000
5097	0.025000
5096	0.025000
5095	0.025000
5094	0.025000
5093	0.025000
5092	0.025000
5091	0.025000
5090	0.025000
5089	0.025000
5088	0.025000
5087	0.025000
5086	0.025000
5085	0.025000
5084	0.025000
5083	0.025000
5082	0.025000
5081	0.025000
5080	0.025000
5079	0.025000
5078	0.025000
5077	0.025000
5076	0.025000
5075	0.025000
5074	0.025000
5073	0.025000
5072	0.025000
5071	0.025000
5070	0.025000
5069	0.025000
5068	0.025000
5067	0.025000
5066	0.025000
5065	0.025000
5064	0.025000
5063	0.025000
5062	0.025000
5061	0.025000
5060	0.025000
5059	0.025000
5058	0.025000
5057	0.025000
5056	0.025000
5055	0.025000
5054	0.025000
5053	0.025000
5052	0.025000
5051	0.025000
5050	0.025000
5049	0.025000
5048	0.025000
5047	0.025000
5046	0.025000
5045	0.025000
5044	0.025000
5043	0.025000
5042	0.025000
5041	0.025000
5040	0.025000
5039	0.025000
5038	0.025000
5037	0.025000
5036	0.025000
5035	0.025000
5034	0.025000
5033	0.025000
5032	0.025000
5031	0.025000
5030	0.025000
5029	0.025000
5028	0.025000
5027	0.025000
5026	0.025000
5025	0.025000
5024	0.025000
5023	0.025000
5022	0.025000
5021	0.025000
5020	0.025000
5019	0.025000
5018	0.025000
5017	0.025000
5016	0.025000
5015	0.025000
5014	0.025000
5013	0.025000
5012	0.025000
5011	0.025000
5010	0.025000
5009	0.025000
5008	0.025000
5007	0.025000
5006	0.025000
5005	0.025000
5004	0.025000
5003	0.025000
5002	0.025000
5001	0.025000
5000	0.025000
4999	0.025000
4998	0.025000
4997	0.025000
4996	0.025000
4995	0.025000
4994	0.025000
4993	0.025000
4992	0.025000
4991	0.025000
4990	0.025000
4989	0.025000
4988	0.025000
4987	0.025000
4986	0.025000
4985	0.025000
4984	0.025000
4983	0.025000
4982	0.025000
4981	0.025000
4980	0.025000
4979	0.025000
4978	0.025000
4977	0.025000
4976	0.025000
4975	0.025000
4974	0.025000
4973	0.025000
4972	0.025000
4971	0.025000
4970	0.025000
4969	0.025000
4968	0.025000
4967	0.025000
4966	0.025000
4965	0.025000
4964	0.025000
4963	0.025000
4962	0.025000
4961	0.025000
4960	0.025000
4959	0.025000
4958	0.025000
4957	0.025000
4956	0.025000
4955	0.025000
4954	0.025000
4953	0.025000
4952	0.025000
4951	0.025000
4950	0.025000
4949	0.025000
4948	0.025000
4947	0.025000
4946	0.025000
4945	0.025000
4944	0.025000
4943	0.025000
4942	0.025000
4941	0.025000
4940	0.025000
4939	0.025000
4938	0.025000
4937	0.025000
4936	0.025000
4935	0.025000
4934	0.025000
4933	0.025000
4932	0.025000
4931	0.025000
4930	0.025000
4929	0.025000
4928	0.025000
4927	0.025000
4926	0.025000
4925	0.025000
4924	0.025000
4923	0.025000
4922	0.025000
4921	0.025000
4920	0.025000
4919	0.025000
4918	0.025000
4917	0.025000
4916	0.025000
4915	0.025000
4914	0.025000
4913	0.025000
4912	0.025000
4911	0.025000
4910	0.025000
4909	0.025000
4908	0.025000
4907	0.025000
4906	0.025000
4905	0.025000
4904	0.025000
4903	0.025000
4902	0.025000
4901	0.025000
4900	0.025000
4899	0.025000
4898	0.025000
4897	0.025000
4896	0.025000
4895	0.025000
4894	0.025000
4893	0.025000
4892	0.025000
4891	0.025000
4890	0.025000
4889	0.025000
4888	0.025000
4887	0.025000
4886	0.025000
4885	0.025000
4884	0.025000
4883	0.025000
4882	0.025000
4881	0.025000
4880	0.025000
4879	0.025000
4878	0.025000
4877	0.025000
4876	0.025000
4875	0.025000
4874	0.025000
4873	0.025000
4872	0.025000
4871	0.025000
4870	0.025000
4869	0.025000
4868	0.025000
4867	0.025000
4866	0.025000
4865	0.025000
4864	0.025000
4863	0.025000
4862	0.025000
4861	0.025000
4860	0.025000
4859	0.025000
4858	0.025000
4857	0.025000
4856	0.025000
4855	0.025000
4854	0.025000
4853	0.025000
4852	0.025000
4851	0.025000
4850	0.025000
4849	0.025000
4848	0.025000
4847	0.025000
4846	0.025000
4845	0.025000
4844	0.025000
4843	0.025000
4842	0.025000
4841	0.025000
4840	0.025000
4839	0.025000
4838	0.025000
4837	0.025000
4836	0.025000
4835	0.025000
4834	0.025000
4833	0.025000
4832	0.025000
4831	0.025000
4830	0.025000
4829	0.025000
4828	0.025000
4827	0.025000
4826	0.025000
4825	0.025000
4824	0.025000
4823	0.025000
4822	0.025000
4821	0.025000
4820	0.025000
4819	0.025000
4818	0.025000
4817	0.025000
4816	0.025000
4815	0.025000
4814	0.025000
4813	0.025000
4812	0.025000
4811	0.025000
4810	0.025000
4809	0.025000
4808	0.025000
4807	0.025000
4806	0.025000
4805	0.025000
4804	0.025000
4803	0.025000
4802	0.025000
4801	0.025000
4800	0.025000
4799	0.025000
4798	0.025000
4797	0.025000
4796	0.025000
4795	0.025000
4794	0.025000
4793	0.025000
4792	0.025000
4791	0.025000
4790	0.025000
4789	0.025000
4788	0.025000
4787	0.025000
4786	0.025000
4785	0.025000
4784	0.025000
4783	0.025000
4782	0.025000
4781	0.025000
4780	0.025000
4779	0.025000
4778	0.025000
4777	0.025000
4776	0.025000
4775	0.025000
4774	0.025000
4773	0.025000
4772	0.025000
4771	0.025000
4770	0.025000
4769	0.025000
4768	0.025000
4767	0.025000
4766	0.025000
4765	0.025000
4764	0.025000
4763	0.025000
4762	0.025000
4761	0.025000
4760	0.025000
4759	0.025000
4758	0.025000
4757	0.025000
4756	0.025000
4755	0.025000
4754	0.025000
4753	0.025000
4752	0.025000
4751	0.025000
4750	0.025000
4749	0.025000
4748	0.025000
4747	0.025000
4746	0.025000
4745	0.025000
4744	0.025000
4743	0.025000
4742	0.025000
4741	0.025000
4740	0.025000
4739	0.025000
4738	0.025000
4737	0.025000
4736	0.025000
4735	0.025000
4734	0.025000
4733	0.025000
4732	0.025000
4731	0.025000
4730	0.025000
4729	0.025000
4728	0.025000
4727	0.025000
4726	0.025000
4725	0.025000
4724	0.025000
4723	0.025000
4722	0.025000
4721	0.025000
4720	0.025000
4719	0.025000
4718	0.025000
4717	0.025000
4716	0.025000
4715	0.025000
4714	0.025000
4713	0.025000
4712	0.025000
4711	0.025000
4710	0.025000
4709	0.025000
4708	0.025000
4707	0.025000
4706	0.025000
4705	0.025000
4704	0.025000
4703	0.025000
4702	0.025000
4701	0.025000
4700	0.025000
4699	0.025000
4698	0.025000
4697	0.025000
4696	0.025000
4695	0.025000
4694	0.025000
4693	0.025000
4692	0.025000
4691	0.025000
4690	0.025000
4689	0.025000
4688	0.025000
4687	0.025000
4686	0.025000
4685	0.025000
4684	0.025000
4683	0.025000
4682	0.025000
4681	0.025000
4680	0.025000
4679	0.025000
4678	0.025000
4677	0.025000
4676	0.025000
4675	0.025000
4674	0.025000
4673	0.025000
4672	0.025000
4671	0.025000
4670	0.025000
4669	0.025000
4668	0.025000
4667	0.025000
4666	0.025000
4665	0.025000
4664	0.025000
4663	0.025000
4662	0.025000
4661	0.025000
4660	0.025000
4659	0.025000
4658	0.025000
4657	0.025000
4656	0.025000
4655	0.025000
4654	0.025000
4653	0.025000
4652	0.025000
4651	0.025000
4650	0.025000
4649	0.025000
4648	0.025000
4647	0.025000
4646	0.025000
4645	0.025000
4644	0.025000
4643	0.025000
4642	0.025000
4641	0.025000
4640	0.025000
4639	0.025000
4638	0.025000
4637	0.025000
4636	0.025000
4635	0.025000
4634	0.025000
4633	0.025000
4632	0.025000
4631	0.025000
4630	0.025000
4629	0.025000
4628	0.025000
4627	0.025000
4626	0.025000
4625	0.025000
4624	0.025000
4623	0.025000
4622	0.025000
4621	0.025000
4620	0.025000
4619	0.025000
4618	0.025000
4617	0.025000
4616	0.025000
4615	0.025000
4614	0.025000
4613	0.025000
4612	0.025000
4611	0.025000
4610	0.025000
4609	0.025000
4608	0.025000
4607	0.025000
4606	0.025000
4605	0.025000
4604	0.025000
4603	0.025000
4602	0.025000
4601	0.025000
4600	0.025000
4599	0.025000
4598	0.025000
4597	0.025000
4596	0.025000
4595	0.025000
4594	0.025000
4593	0.025000
4592	0.025000
4591	0.025000
4590	0.025000
4589	0.025000
4588	0.025000
4587	0.025000
4586	0.025000
4585	0.025000
4584	0.025000
4583	0.025000
4582	0.025000
4581	0.025000
4580	0.025000
4579	0.025000
4578	0.025000
4577	0.025000
4576	0.025000
4575	0.025000
4574	0.025000
4573	0.025000
4572	0.025000
4571	0.025000
4570	0.025000
4569	0.025000
4568	0.025000
4567	0.025000
4566	0.025000
4565	0.025000
4564	0.025000
4563	0.025000
4562	0.025000
4561	0.025000
4560	0.025000
4559	0.025000
4558	0.025000
4557	0.025000
4556	0.025000
4555	0.025000
4554	0.025000
4553	0.025000
4552	0.025000
4551	0.025000
4550	0.025000
4549	0.025000
4548	0.025000
4547	0.025000
4546	0.025000
4545	0.025000
4544	0.025000
4543	0.025000
4542	0.025000
4541	0.025000
4540	0.025000
4539	0.025000
4538	0.025000
4537	0.025000
4536	0.025000
4535	0.025000
4534	0.025000
4533	0.025000
4532	0.025000
4531	0.025000
4530	0.025000
4529	0.025000
4528	0.025000
4527	0.025000
4526	0.025000
4525	0.025000
4524	0.025000
4523	0.025000
4522	0.025000
4521	0.025000
4520	0.025000
4519	0.025000
4518	0.025000
4517	0.025000
4516	0.025000
4515	0.025000
4514	0.025000
4513	0.025000
4512	0.025000
4511	0.025000
4510	0.025000
4509	0.025000
4508	0.025000
4507	0.025000
4506	0.025000
4505	0.025000
4504	0.025000
4503	0.025000
4502	0.025000
4501	0.025000
4500	0.025000
4499	0.025000
4498	0.025000
4497	0.025000
4496	0.025000
4495	0.025000
4494	0.025000
4493	0.025000
4492	0.025000
4491	0.025000
4490	0.025000
4489	0.025000
4488	0.025000
4487	0.025000
4486	0.025000
4485	0.025000
4484	0.025000
4483	0.025000
4482	0.025000
4481	0.025000
4480	0.025000
4479	0.025000
4478	0.025000
4477	0.025000
4476	0.025000
4475	0.025000
4474	0.025000
4473	0.025000
4472	0.025000
4471	0.025000
4470	0.025000
4469	0.025000
4468	0.025000
4467	0.025000
4466	0.025000
4465	0.025000
4464	0.025000
4463	0.025000
4462	0.025000
4461	0.025000
4460	0.025000
4459	0.025000
4458	0.025000
4457	0.025000
4456	0.025000
4455	0.025000
4454	0.025000
4453	0.025000
4452	0.025000
4451	0.025000
4450	0.025000
4449	0.025000
4448	0.025000
4447	0.025000
4446	0.025000
4445	0.025000
4444	0.025000
4443	0.025000
4442	0.025000
4441	0.025000
4440	0.025000
4439	0.025000
4438	0.025000
4437	0.025000
4436	0.025000
4435	0.025000
4434	0.025000
4433	0.025000
4432	0.025000
4431	0.025000
4430	0.025000
4429	0.025000
4428	0.025000
4427	0.025000
4426	0.025000
4425	0.025000
4424	0.025000
4423	0.025000
4422	0.025000
4421	0.025000
4420	0.025000
4419	0.025000
4418	0.025000
4417	0.025000
4416	0.025000
4415	0.025000
4414	0.025000
4413	0.025000
4412	0.025000
4411	0.025000
4410	0.025000
4409	0.025000
4408	0.025000
4407	0.025000
4406	0.025000
4405	0.025000
4404	0.025000
4403	0.025000
4402	0.025000
4401	0.025000
4400	0.025000
4399	0.025000
4398	0.025000
4397	0.025000
4396	0.025000
4395	0.025000
4394	0.025000
4393	0.025000
4392	0.025000
4391	0.025000
4390	0.025000
4389	0.025000
4388	0.025000
4387	0.025000
4386	0.025000
4385	0.025000
4384	0.025000
4383	0.025000
4382	0.025000
4381	0.025000
4380	0.025000
4379	0.025000
4378	0.025000
4377	0.025000
4376	0.025000
4375	0.025000
4374	0.025000
4373	0.025000
4372	0.025000
4371	0.025000
4370	0.025000
4369	0.025000
4368	0.025000
4367	0.025000
4366	0.025000
4365	0.025000
4364	0.025000
4363	0.025000
4362	0.025000
4361	0.025000
4360	0.025000
4359	0.025000
4358	0.025000
4357	0.025000
4356	0.025000
4355	0.025000
4354	0.025000
4353	0.025000
4352	0.025000
4351	0.025000
4350	0.025000
4349	0.025000
4348	0.025000
4347	0.025000
4346	0.025000
4345	0.025000
4344	0.025000
4343	0.025000
4342	0.025000
4341	0.025000
4340	0.025000
4339	0.025000
4338	0.025000
4337	0.025000
4336	0.025000
4335	0.025000
4334	0.025000
4333	0.025000
4332	0.025000
4331	0.025000
4330	0.025000
4329	0.025000
4328	0.025000
4327	0.025000
4326	0.025000
4325	0.025000
4324	0.025000
4323	0.025000
4322	0.025000
4321	0.025000
4320	0.025000
4319	0.025000
4318	0.025000
4317	0.025000
4316	0.025000
4315	0.025000
4314	0.025000
4313	0.025000
4312	0.025000
4311	0.025000
4310	0.025000
4309	0.025000
4308	0.025000
4307	0.025000
4306	0.025000
4305	0.025000
4304	0.025000
4303	0.025000
4302	0.025000
4301	0.025000
4300	0.025000
4299	0.025000
4298	0.025000
4297	0.025000
4296	0.025000
4295	0.025000
4294	0.025000
4293	0.025000
4292	0.025000
4291	0.025000
4290	0.025000
4289	0.025000
4288	0.025000
4287	0.025000
4286	0.025000
4285	0.025000
4284	0.025000
4283	0.025000
4282	0.025000
4281	0.025000
4280	0.025000
4279	0.025000
4278	0.025000
4277	0.025000
4276	0.025000
4275	0.025000
4274	0.025000
4273	0.025000
4272	0.025000
4271	0.025000
4270	0.025000
4269	0.025000
4268	0.025000
4267	0.025000
4266	0.025000
4265	0.025000
4264	0.025000
4263	0.025000
4262	0.025000
4261	0.025000
4260	0.025000
4259	0.025000
4258	0.025000
4257	0.025000
4256	0.025000
4255	0.025000
4254	0.025000
4253	0.025000
4252	0.025000
4251	0.025000
4250	0.025000
4249	0.025000
4248	0.025000
4247	0.025000
4246	0.025000
4245	0.025000
4244	0.025000
4243	0.025000
4242	0.025000
4241	0.025000
4240	0.025000
4239	0.025000
4238	0.025000
4237	0.025000
4236	0.025000
4235	0.025000
4234	0.025000
4233	0.025000
4232	0.025000
4231	0.025000
4230	0.025000
4229	0.025000
4228	0.025000
4227	0.025000
4226	0.025000
4225	0.025000
4224	0.025000
4223	0.025000
4222	0.025000
4221	0.025000
4220	0.025000
4219	0.025000
4218	0.025000
4217	0.025000
4216	0.025000
4215	0.025000
4214	0.025000
4213	0.025000
4212	0.025000
4211	0.025000
4210	0.025000
4209	0.025000
4208	0.025000
4207	0.025000
4206	0.025000
4205	0.025000
4204	0.025000
4203	0.025000
4202	0.025000
4201	0.025000
4200	0.025000
4199	0.025000
4198	0.025000
4197	0.025000
4196	0.025000
4195	0.025000
4194	0.025000
4193	0.025000
4192	0.025000
4191	0.025000
4190	0.025000
4189	0.025000
4188	0.025000
4187	0.025000
4186	0.025000
4185	0.025000
4184	0.025000
4183	0.025000
4182	0.025000
4181	0.025000
4180	0.025000
4179	0.025000
4178	0.025000
4177	0.025000
4176	0.025000
4175	0.025000
4174	0.025000
4173	0.025000
4172	0.025000
4171	0.025000
4170	0.025000
4169	0.025000
4168	0.025000
4167	0.025000
4166	0.025000
4165	0.025000
4164	0.025000
4163	0.025000
4162	0.025000
4161	0.025000
4160	0.025000
4159	0.025000
4158	0.025000
4157	0.025000
4156	0.025000
4155	0.025000
4154	0.025000
4153	0.025000
4152	0.025000
4151	0.025000
4150	0.025000
4149	0.025000
4148	0.025000
4147	0.025000
4146	0.025000
4145	0.025000
4144	0.025000
4143	0.025000
4142	0.025000
4141	0.025000
4140	0.025000
4139	0.025000
4138	0.025000
4137	0.025000
4136	0.025000
4135	0.025000
4134	0.025000
4133	0.025000
4132	0.025000
4131	0.025000
4130	0.025000
4129	0.025000
4128	0.025000
4127	0.025000
4126	0.025000
4125	0.025000
4124	0.025000
4123	0.025000
4122	0.025000
4121	0.025000
4120	0.025000
4119	0.025000
4118	0.025000
4117	0.025000
4116	0.025000
4115	0.025000
4114	0.025000
4113	0.025000
4112	0.025000
4111	0.025000
4110	0.025000
4109	0.025000
4108	0.025000
4107	0.025000
4106	0.025000
4105	0.025000
4104	0.025000
4103	0.025000
4102	0.025000
4101	0.025000
4100	0.025000
4099	0.025000
4098	0.025000
4097	0.025000
4096	0.025000
4095	0.025000
4094	0.025000
4093	0.025000
4092	0.025000
4091	0.025000
4090	0.025000
4089	0.025000
4088	0.025000
4087	0.025000
4086	0.025000
4085	0.025000
4084	0.025000
4083	0.025000
4082	0.025000
4081	0.025000
4080	0.025000
4079	0.025000
4078	0.025000
4077	0.025000
4076	0.025000
4075	0.025000
4074	0.025000
4073	0.025000
4072	0.025000
4071	0.025000
4070	0.025000
4069	0.025000
4068	0.025000
4067	0.025000
4066	0.025000
4065	0.025000
4064	0.025000
4063	0.025000
4062	0.025000
4061	0.025000
4060	0.025000
4059	0.025000
4058	0.025000
4057	0.025000
4056	0.025000
4055	0.025000
4054	0.025000
4053	0.025000
4052	0.025000
4051	0.025000
4050	0.025000
4049	0.025000
4048	0.025000
4047	0.025000
4046	0.025000
4045	0.025000
4044	0.025000
4043	0.025000
4042	0.025000
4041	0.025000
4040	0.025000
4039	0.025000
4038	0.025000
4037	0.025000
4036	0.025000
4035	0.025000
4034	0.025000
4033	0.025000
4032	0.025000
4031	0.025000
4030	0.025000
4029	0.025000
4028	0.025000
4027	0.025000
4026	0.025000
4025	0.025000
4024	0.025000
4023	0.025000
4022	0.025000
4021	0.025000
4020	0.025000
4019	0.025000
4018	0.025000
4017	0.025000
4016	0.025000
4015	0.025000
4014	0.025000
4013	0.025000
4012	0.025000
4011	0.025000
4010	0.025000
4009	0.025000
4008	0.025000
4007	0.025000
4006	0.025000
4005	0.025000
4004	0.025000
4003	0.025000
4002	0.025000
4001	0.025000
4000	0.025000
3999	0.023454
3998	0.023454
3997	0.023454
3996	0.023454
3995	0.023454
3994	0.023454
3993	0.023454
3992	0.023454
3991	0.023454
3990	0.023454
3989	0.023454
3988	0.023454
3987	0.023454
3986	0.023454
3985	0.023454
3984	0.023454
3983	0.023454
3982	0.023454
3981	0.023454
3980	0.023454
3979	0.023454
3978	0.023454
3977	0.023454
3976	0.023454
3975	0.023454
3974	0.023454
3973	0.023454
3972	0.023454
3971	0.023454
3970	0.023454
3969	0.023454
3968	0.023454
3967	0.023454
3966	0.023454
3965	0.023454
3964	0.023454
3963	0.023454
3962	0.023454
3961	0.023454
3960	0.023454
3959	0.023454
3958	0.023454
3957	0.023454
3956	0.023454
3955	0.023454
3954	0.023454
3953	0.023454
3952	0.023454
3951	0.023454
3950	0.023454
3949	0.023454
3948	0.023454
3947	0.023454
3946	0.023454
3945	0.023454
3944	0.023454
3943	0.023454
3942	0.023454
3941	0.023454
3940	0.023454
3939	0.023454
3938	0.023454
3937	0.023454
3936	0.023454
3935	0.023454
3934	0.023454
3933	0.023454
3932	0.023454
3931	0.023454
3930	0.023454
3929	0.023454
3928	0.023454
3927	0.023454
3926	0.023454
3925	0.023454
3924	0.023454
3923	0.023454
